,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,p_creator,p_mood,p_name,speechiness,tempo,time_signature,track_href,type,uri,valence
0,0.00496,https://api.spotify.com/v1/audio-analysis/1uXbwHHfgsXcUKfSZw5ZJ0,0.733,236093.0,0.899,1uXbwHHfgsXcUKfSZw5ZJ0,4.72e-05,0.0,0.372,-4.237,1.0,Spotify,energetic,Working Out Together: HAIM,0.143,127.086,4.0,https://api.spotify.com/v1/tracks/1uXbwHHfgsXcUKfSZw5ZJ0,audio_features,spotify:track:1uXbwHHfgsXcUKfSZw5ZJ0,0.76
1,0.0108,https://api.spotify.com/v1/audio-analysis/7LP4Es66zdY7CyjepqmvAg,0.657,212107.0,0.695,7LP4Es66zdY7CyjepqmvAg,0.0,2.0,0.0822,-4.493,1.0,Spotify,energetic,Working Out Together: HAIM,0.0321,65.997,4.0,https://api.spotify.com/v1/tracks/7LP4Es66zdY7CyjepqmvAg,audio_features,spotify:track:7LP4Es66zdY7CyjepqmvAg,0.683
2,0.0303,https://api.spotify.com/v1/audio-analysis/7yVtuQux71kxcRk99ILX5c,0.796,319373.0,0.867,7yVtuQux71kxcRk99ILX5c,2.82e-06,10.0,0.134,-9.543,1.0,Spotify,energetic,Working Out Together: HAIM,0.0309,120.682,4.0,https://api.spotify.com/v1/tracks/7yVtuQux71kxcRk99ILX5c,audio_features,spotify:track:7yVtuQux71kxcRk99ILX5c,0.971
3,0.184,https://api.spotify.com/v1/audio-analysis/3L7RtEcu1Hw3OXrpnthngx,0.731,236920.0,0.738,3L7RtEcu1Hw3OXrpnthngx,0.0,9.0,0.214,-8.125,0.0,Spotify,energetic,Working Out Together: HAIM,0.0377,117.656,4.0,https://api.spotify.com/v1/tracks/3L7RtEcu1Hw3OXrpnthngx,audio_features,spotify:track:3L7RtEcu1Hw3OXrpnthngx,0.958
4,0.331,https://api.spotify.com/v1/audio-analysis/6aBUnkXuCEQQHAlTokv9or,0.942,296147.0,0.641,6aBUnkXuCEQQHAlTokv9or,0.179,7.0,0.028,-10.15,1.0,Spotify,energetic,Working Out Together: HAIM,0.0333,114.443,4.0,https://api.spotify.com/v1/tracks/6aBUnkXuCEQQHAlTokv9or,audio_features,spotify:track:6aBUnkXuCEQQHAlTokv9or,0.966
5,0.0908,https://api.spotify.com/v1/audio-analysis/3pEuO9J2MTEmec8kUfYYvl,0.813,236933.0,0.882,3pEuO9J2MTEmec8kUfYYvl,0.00457,7.0,0.147,-7.575,1.0,Spotify,energetic,Working Out Together: HAIM,0.0402,125.983,4.0,https://api.spotify.com/v1/tracks/3pEuO9J2MTEmec8kUfYYvl,audio_features,spotify:track:3pEuO9J2MTEmec8kUfYYvl,0.874
6,0.107,https://api.spotify.com/v1/audio-analysis/2AnTuxahfcAS7dGxGZnihY,0.852,279360.0,0.655,2AnTuxahfcAS7dGxGZnihY,2.07e-05,5.0,0.137,-11.498,0.0,Spotify,energetic,Working Out Together: HAIM,0.0645,115.962,4.0,https://api.spotify.com/v1/tracks/2AnTuxahfcAS7dGxGZnihY,audio_features,spotify:track:2AnTuxahfcAS7dGxGZnihY,0.952
7,0.00482,https://api.spotify.com/v1/audio-analysis/0aqRkWPAL9BGCvvdSiXaE9,0.498,207307.0,0.795,0aqRkWPAL9BGCvvdSiXaE9,5.37e-05,5.0,0.124,-5.992,1.0,Spotify,energetic,Working Out Together: HAIM,0.0444,172.564,4.0,https://api.spotify.com/v1/tracks/0aqRkWPAL9BGCvvdSiXaE9,audio_features,spotify:track:0aqRkWPAL9BGCvvdSiXaE9,0.762
8,0.72,https://api.spotify.com/v1/audio-analysis/75FEaRjZTKLhTrFGsfMUXR,0.629,298933.0,0.547,75FEaRjZTKLhTrFGsfMUXR,0.00314,10.0,0.0604,-13.123,0.0,Spotify,energetic,Working Out Together: HAIM,0.055,108.375,4.0,https://api.spotify.com/v1/tracks/75FEaRjZTKLhTrFGsfMUXR,audio_features,spotify:track:75FEaRjZTKLhTrFGsfMUXR,0.197
9,0.0135,https://api.spotify.com/v1/audio-analysis/62LJFaYihsdVrrkgUOJC05,0.898,226240.0,0.271,62LJFaYihsdVrrkgUOJC05,0.00138,7.0,0.0461,-12.238,1.0,Spotify,energetic,Working Out Together: HAIM,0.091,111.485,4.0,https://api.spotify.com/v1/tracks/62LJFaYihsdVrrkgUOJC05,audio_features,spotify:track:62LJFaYihsdVrrkgUOJC05,0.742
