,acousticness,analysis_url,danceability,duration_ms,energy,id,instrumentalness,key,liveness,loudness,mode,p_creator,p_mood,p_name,speechiness,tempo,time_signature,track_href,type,uri,valence
14,0.032,https://api.spotify.com/v1/audio-analysis/5eK3EGtSzTz9eEcPFwE37E,0.57,209547.0,0.806,5eK3EGtSzTz9eEcPFwE37E,0.000179,5.0,0.77,-7.351,1.0,Catarina Rocha Leite,energetic,energetic songs,0.14,156.319,4.0,https://api.spotify.com/v1/tracks/5eK3EGtSzTz9eEcPFwE37E,audio_features,spotify:track:5eK3EGtSzTz9eEcPFwE37E,0.605
15,0.0132,https://api.spotify.com/v1/audio-analysis/6kcuYyyU2tPxGP3PDVWYJT,0.421,234787.0,0.822,6kcuYyyU2tPxGP3PDVWYJT,0.0,2.0,0.092,-4.415,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0542,171.935,4.0,https://api.spotify.com/v1/tracks/6kcuYyyU2tPxGP3PDVWYJT,audio_features,spotify:track:6kcuYyyU2tPxGP3PDVWYJT,0.751
16,0.00701,https://api.spotify.com/v1/audio-analysis/4kbj5MwxO1bq9wjT5g9HaA,0.578,199080.0,0.866,4kbj5MwxO1bq9wjT5g9HaA,0.0,1.0,0.257,-3.804,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0619,128.038,4.0,https://api.spotify.com/v1/tracks/4kbj5MwxO1bq9wjT5g9HaA,audio_features,spotify:track:4kbj5MwxO1bq9wjT5g9HaA,0.619
17,0.00654,https://api.spotify.com/v1/audio-analysis/56ZDcszhe1eCeghso93fXP,0.691,213080.0,0.791,56ZDcszhe1eCeghso93fXP,0.0,0.0,0.0729,-3.747,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0613,100.044,4.0,https://api.spotify.com/v1/tracks/56ZDcszhe1eCeghso93fXP,audio_features,spotify:track:56ZDcszhe1eCeghso93fXP,0.793
18,0.0116,https://api.spotify.com/v1/audio-analysis/05wIrZSwuaVWhcv5FfqeH0,0.596,238733.0,0.869,05wIrZSwuaVWhcv5FfqeH0,0.173,10.0,0.0678,-11.97,1.0,Catarina Rocha Leite,energetic,energetic songs,0.037,109.902,4.0,https://api.spotify.com/v1/tracks/05wIrZSwuaVWhcv5FfqeH0,audio_features,spotify:track:05wIrZSwuaVWhcv5FfqeH0,0.944
19,0.104,https://api.spotify.com/v1/audio-analysis/0XfOi87h82i09rQjWYG0Bm,0.767,165467.0,0.934,0XfOi87h82i09rQjWYG0Bm,0.0,4.0,0.0835,-3.057,0.0,Catarina Rocha Leite,energetic,energetic songs,0.195,121.069,4.0,https://api.spotify.com/v1/tracks/0XfOi87h82i09rQjWYG0Bm,audio_features,spotify:track:0XfOi87h82i09rQjWYG0Bm,0.895
20,0.375,https://api.spotify.com/v1/audio-analysis/3cU2wBxuV6nFiuf6PJZNlC,0.655,184227.0,0.782,3cU2wBxuV6nFiuf6PJZNlC,0.0,1.0,0.317,-4.789,1.0,Catarina Rocha Leite,energetic,energetic songs,0.185,79.427,4.0,https://api.spotify.com/v1/tracks/3cU2wBxuV6nFiuf6PJZNlC,audio_features,spotify:track:3cU2wBxuV6nFiuf6PJZNlC,0.832
21,0.0125,https://api.spotify.com/v1/audio-analysis/0l0CvurVUrr2w3Jj1hOVFc,0.557,213507.0,0.801,0l0CvurVUrr2w3Jj1hOVFc,1.66e-06,1.0,0.737,-3.602,0.0,Catarina Rocha Leite,energetic,energetic songs,0.218,92.135,4.0,https://api.spotify.com/v1/tracks/0l0CvurVUrr2w3Jj1hOVFc,audio_features,spotify:track:0l0CvurVUrr2w3Jj1hOVFc,0.654
22,0.36,https://api.spotify.com/v1/audio-analysis/0z0qRN3HNUCOG9y1R7umuD,0.812,213519.0,0.366,0z0qRN3HNUCOG9y1R7umuD,0.0,5.0,0.0793,-10.245,0.0,Catarina Rocha Leite,energetic,energetic songs,0.447,114.093,4.0,https://api.spotify.com/v1/tracks/0z0qRN3HNUCOG9y1R7umuD,audio_features,spotify:track:0z0qRN3HNUCOG9y1R7umuD,0.659
23,0.0417,https://api.spotify.com/v1/audio-analysis/6QgjcU0zLnzq5OrUoSZ3OK,0.801,163253.0,0.795,6QgjcU0zLnzq5OrUoSZ3OK,0.000113,1.0,0.0717,-5.115,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0504,79.028,4.0,https://api.spotify.com/v1/tracks/6QgjcU0zLnzq5OrUoSZ3OK,audio_features,spotify:track:6QgjcU0zLnzq5OrUoSZ3OK,0.754
24,0.0987,https://api.spotify.com/v1/audio-analysis/0n6FMFq5bE22tNTmd6L9U4,0.764,172720.0,0.842,0n6FMFq5bE22tNTmd6L9U4,0.0,11.0,0.117,-6.923,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0326,110.029,4.0,https://api.spotify.com/v1/tracks/0n6FMFq5bE22tNTmd6L9U4,audio_features,spotify:track:0n6FMFq5bE22tNTmd6L9U4,0.863
25,0.426,https://api.spotify.com/v1/audio-analysis/01gwPP2h3ajRnqiIphUtR7,0.725,177427.0,0.804,01gwPP2h3ajRnqiIphUtR7,0.000504,8.0,0.108,-7.84,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0393,93.668,4.0,https://api.spotify.com/v1/tracks/01gwPP2h3ajRnqiIphUtR7,audio_features,spotify:track:01gwPP2h3ajRnqiIphUtR7,0.961
26,0.179,https://api.spotify.com/v1/audio-analysis/0XIz5SZTO8AJgteB0shpyN,0.574,173531.0,0.869,0XIz5SZTO8AJgteB0shpyN,0.0,7.0,0.305,-2.474,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0813,134.746,5.0,https://api.spotify.com/v1/tracks/0XIz5SZTO8AJgteB0shpyN,audio_features,spotify:track:0XIz5SZTO8AJgteB0shpyN,0.929
27,0.00107,https://api.spotify.com/v1/audio-analysis/7zWj09xkFgA9tcV6YhfU6q,0.765,195973.0,0.837,7zWj09xkFgA9tcV6YhfU6q,1.06e-05,1.0,0.0801,-3.113,0.0,Catarina Rocha Leite,energetic,energetic songs,0.032,122.028,4.0,https://api.spotify.com/v1/tracks/7zWj09xkFgA9tcV6YhfU6q,audio_features,spotify:track:7zWj09xkFgA9tcV6YhfU6q,0.721
28,7.95e-05,https://api.spotify.com/v1/audio-analysis/0iGckQFyv6svOfAbAY9aWJ,0.706,220227.0,0.841,0iGckQFyv6svOfAbAY9aWJ,0.0,7.0,0.0688,-3.956,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0418,132.032,4.0,https://api.spotify.com/v1/tracks/0iGckQFyv6svOfAbAY9aWJ,audio_features,spotify:track:0iGckQFyv6svOfAbAY9aWJ,0.861
29,0.0249,https://api.spotify.com/v1/audio-analysis/6I9VzXrHxO9rA9A5euc8Ak,0.774,198800.0,0.838,6I9VzXrHxO9rA9A5euc8Ak,0.025,5.0,0.242,-3.914,0.0,Catarina Rocha Leite,energetic,energetic songs,0.114,143.04,4.0,https://api.spotify.com/v1/tracks/6I9VzXrHxO9rA9A5euc8Ak,audio_features,spotify:track:6I9VzXrHxO9rA9A5euc8Ak,0.924
30,0.0159,https://api.spotify.com/v1/audio-analysis/4d2hD63oUGU3s7L66JD0BE,0.792,237267.0,0.856,4d2hD63oUGU3s7L66JD0BE,2.88e-06,11.0,0.0981,-5.236,0.0,Catarina Rocha Leite,energetic,energetic songs,0.067,127.988,4.0,https://api.spotify.com/v1/tracks/4d2hD63oUGU3s7L66JD0BE,audio_features,spotify:track:4d2hD63oUGU3s7L66JD0BE,0.714
31,0.0746,https://api.spotify.com/v1/audio-analysis/6nYoTBmGFNgfTyRC8x1Fvp,0.755,199693.0,0.832,6nYoTBmGFNgfTyRC8x1Fvp,1.27e-06,2.0,0.291,-2.741,0.0,Catarina Rocha Leite,energetic,energetic songs,0.116,120.032,4.0,https://api.spotify.com/v1/tracks/6nYoTBmGFNgfTyRC8x1Fvp,audio_features,spotify:track:6nYoTBmGFNgfTyRC8x1Fvp,0.735
32,0.456,https://api.spotify.com/v1/audio-analysis/0qt5f5EL92o8Snzopsv0en,0.705,218228.0,0.78,0qt5f5EL92o8Snzopsv0en,0.00152,7.0,0.115,-6.267,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0805,142.028,4.0,https://api.spotify.com/v1/tracks/0qt5f5EL92o8Snzopsv0en,audio_features,spotify:track:0qt5f5EL92o8Snzopsv0en,0.457
33,0.0417,https://api.spotify.com/v1/audio-analysis/3T6DY7gUqGCcHG6HON54Ex,0.675,175733.0,0.848,3T6DY7gUqGCcHG6HON54Ex,0.0,1.0,0.0496,-4.006,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0505,124.052,3.0,https://api.spotify.com/v1/tracks/3T6DY7gUqGCcHG6HON54Ex,audio_features,spotify:track:3T6DY7gUqGCcHG6HON54Ex,0.723
34,0.22,https://api.spotify.com/v1/audio-analysis/4y1LsJpmMti1PfRQV9AWWe,0.71,238267.0,0.799,4y1LsJpmMti1PfRQV9AWWe,0.000602,6.0,0.349,-4.897,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0328,120.372,4.0,https://api.spotify.com/v1/tracks/4y1LsJpmMti1PfRQV9AWWe,audio_features,spotify:track:4y1LsJpmMti1PfRQV9AWWe,0.725
35,0.0233,https://api.spotify.com/v1/audio-analysis/2z4pcBLQXF2BXKFvd0BuB6,0.845,187521.0,0.709,2z4pcBLQXF2BXKFvd0BuB6,0.0,10.0,0.094,-4.547,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0714,98.062,4.0,https://api.spotify.com/v1/tracks/2z4pcBLQXF2BXKFvd0BuB6,audio_features,spotify:track:2z4pcBLQXF2BXKFvd0BuB6,0.62
36,0.000232,https://api.spotify.com/v1/audio-analysis/0ofMkI3jzmGCElAOgOLeo3,0.69,264280.0,0.805,0ofMkI3jzmGCElAOgOLeo3,0.739,5.0,0.095,-11.522,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0336,127.808,4.0,https://api.spotify.com/v1/tracks/0ofMkI3jzmGCElAOgOLeo3,audio_features,spotify:track:0ofMkI3jzmGCElAOgOLeo3,0.799
37,0.0217,https://api.spotify.com/v1/audio-analysis/177UT0UJDGtptvvVI3JuBP,0.661,200760.0,0.799,177UT0UJDGtptvvVI3JuBP,0.0,0.0,0.377,-5.433,0.0,Catarina Rocha Leite,energetic,energetic songs,0.135,119.881,4.0,https://api.spotify.com/v1/tracks/177UT0UJDGtptvvVI3JuBP,audio_features,spotify:track:177UT0UJDGtptvvVI3JuBP,0.517
38,0.163,https://api.spotify.com/v1/audio-analysis/00lNx0OcTJrS3MKHcB80HY,0.876,213947.0,0.669,00lNx0OcTJrS3MKHcB80HY,0.0,11.0,0.185,-6.054,0.0,Catarina Rocha Leite,energetic,energetic songs,0.138,124.007,4.0,https://api.spotify.com/v1/tracks/00lNx0OcTJrS3MKHcB80HY,audio_features,spotify:track:00lNx0OcTJrS3MKHcB80HY,0.682
39,0.00729,https://api.spotify.com/v1/audio-analysis/7MTvJ1opaAkaEx0guBsjWR,0.759,231840.0,0.563,7MTvJ1opaAkaEx0guBsjWR,0.0,7.0,0.0342,-4.543,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0356,126.995,4.0,https://api.spotify.com/v1/tracks/7MTvJ1opaAkaEx0guBsjWR,audio_features,spotify:track:7MTvJ1opaAkaEx0guBsjWR,0.809
40,0.189,https://api.spotify.com/v1/audio-analysis/32DGGj6KlNuBr6WaqRxpxi,0.849,198237.0,0.581,32DGGj6KlNuBr6WaqRxpxi,3.61e-06,1.0,0.0805,-5.243,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0767,110.008,4.0,https://api.spotify.com/v1/tracks/32DGGj6KlNuBr6WaqRxpxi,audio_features,spotify:track:32DGGj6KlNuBr6WaqRxpxi,0.779
41,0.0849,https://api.spotify.com/v1/audio-analysis/1z6WtY7X4HQJvzxC4UgkSf,0.652,267413.0,0.748,1z6WtY7X4HQJvzxC4UgkSf,0.0,0.0,0.604,-5.242,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0887,94.1,4.0,https://api.spotify.com/v1/tracks/1z6WtY7X4HQJvzxC4UgkSf,audio_features,spotify:track:1z6WtY7X4HQJvzxC4UgkSf,0.652
42,0.000658,https://api.spotify.com/v1/audio-analysis/4evORFR2OaJydEctT2CEgf,0.655,170760.0,0.798,4evORFR2OaJydEctT2CEgf,0.0,2.0,0.335,-7.137,1.0,Catarina Rocha Leite,energetic,energetic songs,0.131,128.103,4.0,https://api.spotify.com/v1/tracks/4evORFR2OaJydEctT2CEgf,audio_features,spotify:track:4evORFR2OaJydEctT2CEgf,0.855
43,0.0726,https://api.spotify.com/v1/audio-analysis/1ES3AeBEBrkvmaFUUxJFVt,0.752,154053.0,0.908,1ES3AeBEBrkvmaFUUxJFVt,0.0,2.0,0.184,-5.681,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0308,128.125,4.0,https://api.spotify.com/v1/tracks/1ES3AeBEBrkvmaFUUxJFVt,audio_features,spotify:track:1ES3AeBEBrkvmaFUUxJFVt,0.94
44,0.0129,https://api.spotify.com/v1/audio-analysis/06hsdMbBxWGqBO0TV0Zrkf,0.729,194000.0,0.936,06hsdMbBxWGqBO0TV0Zrkf,0.000892,9.0,0.0367,-7.536,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0776,131.986,4.0,https://api.spotify.com/v1/tracks/06hsdMbBxWGqBO0TV0Zrkf,audio_features,spotify:track:06hsdMbBxWGqBO0TV0Zrkf,0.598
45,0.03,https://api.spotify.com/v1/audio-analysis/5tXyNhNcsnn7HbcABntOSf,0.666,222160.0,0.878,5tXyNhNcsnn7HbcABntOSf,0.0,7.0,0.0828,-2.85,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0973,119.932,4.0,https://api.spotify.com/v1/tracks/5tXyNhNcsnn7HbcABntOSf,audio_features,spotify:track:5tXyNhNcsnn7HbcABntOSf,0.669
46,0.0199,https://api.spotify.com/v1/audio-analysis/0ltBH1JNzSvQJPjJpvTu9B,0.754,225000.0,0.933,0ltBH1JNzSvQJPjJpvTu9B,0.0,0.0,0.297,-5.786,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0448,103.992,4.0,https://api.spotify.com/v1/tracks/0ltBH1JNzSvQJPjJpvTu9B,audio_features,spotify:track:0ltBH1JNzSvQJPjJpvTu9B,0.75
47,0.00379,https://api.spotify.com/v1/audio-analysis/2CEgGE6aESpnmtfiZwYlbV,0.751,202613.0,0.783,2CEgGE6aESpnmtfiZwYlbV,0.0,4.0,0.036,-3.724,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0859,119.975,4.0,https://api.spotify.com/v1/tracks/2CEgGE6aESpnmtfiZwYlbV,audio_features,spotify:track:2CEgGE6aESpnmtfiZwYlbV,0.816
48,0.304,https://api.spotify.com/v1/audio-analysis/7x5xYW5W42OGPAdHUyyguy,0.509,227480.0,0.671,7x5xYW5W42OGPAdHUyyguy,0.0,1.0,0.0452,-5.709,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0678,118.413,5.0,https://api.spotify.com/v1/tracks/7x5xYW5W42OGPAdHUyyguy,audio_features,spotify:track:7x5xYW5W42OGPAdHUyyguy,0.55
49,0.202,https://api.spotify.com/v1/audio-analysis/3MjUtNVVq3C8Fn0MP3zhXa,0.759,211067.0,0.699,3MjUtNVVq3C8Fn0MP3zhXa,0.000131,0.0,0.443,-5.745,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0307,92.96,4.0,https://api.spotify.com/v1/tracks/3MjUtNVVq3C8Fn0MP3zhXa,audio_features,spotify:track:3MjUtNVVq3C8Fn0MP3zhXa,0.907
50,0.021,https://api.spotify.com/v1/audio-analysis/0iyEaciAmtiv8xMkBg97Fy,0.745,231467.0,0.756,0iyEaciAmtiv8xMkBg97Fy,0.0,4.0,0.356,-4.749,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0429,109.999,4.0,https://api.spotify.com/v1/tracks/0iyEaciAmtiv8xMkBg97Fy,audio_features,spotify:track:0iyEaciAmtiv8xMkBg97Fy,0.495
51,0.15,https://api.spotify.com/v1/audio-analysis/1hGy2eLcmC8eKx7qr1tOqx,0.762,225373.0,0.661,1hGy2eLcmC8eKx7qr1tOqx,0.0,1.0,0.256,-6.075,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0687,130.009,4.0,https://api.spotify.com/v1/tracks/1hGy2eLcmC8eKx7qr1tOqx,audio_features,spotify:track:1hGy2eLcmC8eKx7qr1tOqx,0.769
52,0.332,https://api.spotify.com/v1/audio-analysis/386RUes7n1uM1yfzgeUuwp,0.738,190213.0,0.804,386RUes7n1uM1yfzgeUuwp,0.0,11.0,0.279,-3.851,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0621,174.943,4.0,https://api.spotify.com/v1/tracks/386RUes7n1uM1yfzgeUuwp,audio_features,spotify:track:386RUes7n1uM1yfzgeUuwp,0.949
53,0.0216,https://api.spotify.com/v1/audio-analysis/5w6TVvv71F8px5cObg2xnx,0.554,205933.0,0.878,5w6TVvv71F8px5cObg2xnx,5.76e-06,3.0,0.362,-4.271,1.0,Catarina Rocha Leite,energetic,energetic songs,0.134,126.045,4.0,https://api.spotify.com/v1/tracks/5w6TVvv71F8px5cObg2xnx,audio_features,spotify:track:5w6TVvv71F8px5cObg2xnx,0.682
54,9.79e-05,https://api.spotify.com/v1/audio-analysis/5ReRX3klPvCNYtm6Bd1C1K,0.531,214134.0,0.858,5ReRX3klPvCNYtm6Bd1C1K,5.09e-06,11.0,0.378,-2.996,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0431,126.022,4.0,https://api.spotify.com/v1/tracks/5ReRX3klPvCNYtm6Bd1C1K,audio_features,spotify:track:5ReRX3klPvCNYtm6Bd1C1K,0.397
55,0.011,https://api.spotify.com/v1/audio-analysis/54fyVsVauzPwruLvGnBe3i,0.66,191627.0,0.969,54fyVsVauzPwruLvGnBe3i,0.00225,3.0,0.116,-3.63,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0346,127.989,4.0,https://api.spotify.com/v1/tracks/54fyVsVauzPwruLvGnBe3i,audio_features,spotify:track:54fyVsVauzPwruLvGnBe3i,0.48
56,0.00801,https://api.spotify.com/v1/audio-analysis/32OlwWuMpZ6b0aN2RZOeMS,0.856,269667.0,0.609,32OlwWuMpZ6b0aN2RZOeMS,8.15e-05,0.0,0.0344,-7.223,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0824,114.988,4.0,https://api.spotify.com/v1/tracks/32OlwWuMpZ6b0aN2RZOeMS,audio_features,spotify:track:32OlwWuMpZ6b0aN2RZOeMS,0.928
57,0.0588,https://api.spotify.com/v1/audio-analysis/5WQ1hIc5d2EVbRQ8qsj8Uh,0.719,235213.0,0.967,5WQ1hIc5d2EVbRQ8qsj8Uh,0.000249,0.0,0.206,-2.435,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0552,79.505,4.0,https://api.spotify.com/v1/tracks/5WQ1hIc5d2EVbRQ8qsj8Uh,audio_features,spotify:track:5WQ1hIc5d2EVbRQ8qsj8Uh,0.964
58,0.0094,https://api.spotify.com/v1/audio-analysis/0HEmnAUT8PHznIAAmVXqFJ,0.887,193200.0,0.48,0HEmnAUT8PHznIAAmVXqFJ,3.58e-05,11.0,0.0662,-11.994,1.0,Catarina Rocha Leite,energetic,energetic songs,0.117,95.846,4.0,https://api.spotify.com/v1/tracks/0HEmnAUT8PHznIAAmVXqFJ,audio_features,spotify:track:0HEmnAUT8PHznIAAmVXqFJ,0.607
59,0.0984,https://api.spotify.com/v1/audio-analysis/2vz1CsL5WBsbpBcwgboTAw,0.583,226827.0,0.905,2vz1CsL5WBsbpBcwgboTAw,0.00019,2.0,0.0593,-6.132,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0733,173.982,4.0,https://api.spotify.com/v1/tracks/2vz1CsL5WBsbpBcwgboTAw,audio_features,spotify:track:2vz1CsL5WBsbpBcwgboTAw,0.646
60,0.0771,https://api.spotify.com/v1/audio-analysis/5ZnJsoJGkQ5K15W7Rcr5JO,0.709,225253.0,0.782,5ZnJsoJGkQ5K15W7Rcr5JO,4.71e-06,7.0,0.302,-3.526,0.0,Catarina Rocha Leite,energetic,energetic songs,0.0469,102.032,4.0,https://api.spotify.com/v1/tracks/5ZnJsoJGkQ5K15W7Rcr5JO,audio_features,spotify:track:5ZnJsoJGkQ5K15W7Rcr5JO,0.728
61,0.147,https://api.spotify.com/v1/audio-analysis/10Igtw8bSDyyFs7KIsKngZ,0.755,216632.0,0.599,10Igtw8bSDyyFs7KIsKngZ,0.0,8.0,0.109,-5.042,1.0,Catarina Rocha Leite,energetic,energetic songs,0.224,133.123,4.0,https://api.spotify.com/v1/tracks/10Igtw8bSDyyFs7KIsKngZ,audio_features,spotify:track:10Igtw8bSDyyFs7KIsKngZ,0.755
62,0.0395,https://api.spotify.com/v1/audio-analysis/3cfOd4CMv2snFaKAnMdnvK,0.731,200373.0,0.867,3cfOd4CMv2snFaKAnMdnvK,0.0,11.0,0.0861,-5.881,1.0,Catarina Rocha Leite,energetic,energetic songs,0.032,104.019,4.0,https://api.spotify.com/v1/tracks/3cfOd4CMv2snFaKAnMdnvK,audio_features,spotify:track:3cfOd4CMv2snFaKAnMdnvK,0.776
63,0.0352,https://api.spotify.com/v1/audio-analysis/1Q8VH7bsuDazrgyj175urn,0.714,183533.0,0.621,1Q8VH7bsuDazrgyj175urn,1.63e-05,1.0,0.11,-5.343,1.0,Catarina Rocha Leite,energetic,energetic songs,0.0641,96.007,4.0,https://api.spotify.com/v1/tracks/1Q8VH7bsuDazrgyj175urn,audio_features,spotify:track:1Q8VH7bsuDazrgyj175urn,0.892
