,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
1058,energetic,Spotify,Workout Beats,0.250813492,0.097436776,-6.211934524,0.097436776,-29.52811905,83.39551074,0.28042128,2.75E-06
1059,energetic,Spotify,Workout Beats,0.30802381,0.087787097,7.592545635,0.087787097,-17.23759524,63.78695981,0.23954916,1.14E-05
1060,energetic,Spotify,Workout Beats,0.265244048,0.09123739,11.75641667,0.09123739,-26.02916667,142.0327193,0.17064984,0.003537738
1061,energetic,Spotify,Workout Beats,0.279456349,0.091932352,3.778994048,0.091932352,-18.844,27.85251907,0.18254208,6.04E-06
1062,energetic,Spotify,Workout Beats,0.234626984,0.090053232,-8.347277778,0.090053232,-27.73038095,106.4318647,0.24386456,5.34E-06
1063,energetic,Spotify,Workout Beats,0.266125,0.095651784,2.927170635,0.095651784,-22.29719048,70.62240445,0.19995088,2.94E-06
1064,energetic,Spotify,Workout Beats,0.196922619,0.082528509,0.609916667,0.082528509,-25.3917381,68.90590371,0.26237964,1.13E-05
1065,energetic,Spotify,Workout Beats,0.279321429,0.098950688,-11.28305357,0.098950688,-24.70242857,108.5856599,0.17575944,2.96E-06
1066,energetic,Spotify,Workout Beats,0.234498016,0.088473718,-9.997412698,0.088473718,-22.8757381,28.25158986,0.23999312,1.58E-06
1067,energetic,Spotify,Workout Beats,0.279265873,0.085679349,5.611095238,0.085679349,-30.61121429,141.5879855,0.30500444,4.12E-05
1068,energetic,Spotify,Workout Beats,0.331555556,0.086698196,9.224505952,0.086698196,-22.19495238,147.5020815,0.24005264,1.93E-06
1069,energetic,Spotify,Workout Beats,0.236529762,0.090318619,0.108684524,0.090318619,-23.5562619,77.80055405,0.20751604,7.39E-06
1070,energetic,Spotify,Workout Beats,0.231180556,0.093373456,-9.70072619,0.093373456,-28.2122619,80.82585727,0.25839332,7.80E-06
1071,energetic,Spotify,Workout Beats,0.25180754,0.103648871,0.935087302,0.103648871,-20.32792857,66.30059021,0.28573292,5.86E-06
1072,energetic,Spotify,Workout Beats,0.306972222,0.080742023,7.866081349,0.080742023,-24.56766667,228.7471808,0.25008884,7.97E-06
1073,energetic,Spotify,Workout Beats,0.238839286,0.091529233,7.048585317,0.091529233,-25.08185714,133.5001771,0.23470544,7.91E-06
1074,energetic,Spotify,Workout Beats,0.401353175,0.083735422,12.52529762,0.083735422,-15.75052381,161.2062094,0.25375864,9.06E-06
1075,energetic,Spotify,Workout Beats,0.281404762,0.083811279,14.77092659,0.083811279,-17.5577381,70.06739122,0.2419038,1.69E-06
1076,energetic,Spotify,Workout Beats,0.228956349,0.097043799,-7.485597222,0.097043799,-22.19761905,28.27344614,0.26729972,8.08E-05
1077,energetic,Spotify,Workout Beats,0.239144841,0.086757985,8.990916667,0.086757985,-31.66511905,159.8055554,0.25436828,1.69E-06
1078,energetic,Spotify,Workout Beats,0.219162698,0.085432387,4.531938492,0.085432387,-19.33564286,25.72200736,0.260366722,1.17E-05
1079,energetic,Spotify,Workout Beats,0.231025794,0.08726191,3.800730159,0.08726191,-28.31783333,105.4074727,0.30399476,5.02E-05
1080,energetic,Spotify,Workout Beats,0.372180556,0.103720701,16.9644623,0.103720701,-22.76492857,196.4810285,0.25226236,2.85E-05
1081,energetic,Spotify,Workout Beats,0.205347222,0.091723877,-20.30529167,0.091723877,-35.48045238,237.6834945,0.21583348,1.32E-06
1082,energetic,Spotify,Workout Beats,0.329065476,0.099591262,-1.481698413,0.099591262,-28.71583333,94.69522004,0.26843808,1.36E-05
1083,energetic,Spotify,Workout Beats,0.275089286,0.092517199,-3.079412698,0.092517199,-26.85597619,43.27019446,0.1830136,8.36E-05
1084,energetic,Spotify,Workout Beats,0.252097222,0.098435583,14.9781131,0.098435583,-21.835,127.2516489,0.24394816,2.27E-06
1085,energetic,uptown_as,Workout Motivation,0.196136905,0.101341502,0.977988095,0.101341502,-34.9142381,45.32476219,0.18453104,1.26E-05
1086,energetic,uptown_as,Workout Motivation,0.275892857,0.110304251,-8.738128968,0.110304251,-25.77497619,9.126636951,0.39123308,3.32E-05
1087,energetic,uptown_as,Workout Motivation,0.342361111,0.097120661,31.3077004,0.097120661,-25.67338095,41.13183551,0.17650656,2.36E-06
1088,energetic,uptown_as,Workout Motivation,0.381728175,0.092915025,15.94993651,0.092915025,-25.91066667,55.90193672,0.20688588,7.82E-07
1089,energetic,uptown_as,Workout Motivation,0.236746032,0.087717653,36.87541667,0.087717653,-28.23107143,35.62335987,0.17677808,3.03E-06
1090,energetic,uptown_as,Workout Motivation,0.253744048,0.098284974,-5.216861111,0.098284974,-23.12054762,24.40023533,0.29901852,8.15E-06
1091,energetic,uptown_as,Workout Motivation,0.332827381,0.118794,1.603333333,0.118794,-26.18578571,124.5626719,0.230982542,0.005928643
1092,energetic,uptown_as,Workout Motivation,0.26646627,0.090797255,4.068984127,0.090797255,-25.89852381,43.00232191,0.23078492,1.46E-06
1093,energetic,uptown_as,Workout Motivation,0.213896825,0.089558554,4.487595238,0.089558554,-23.19328571,18.66233748,0.17520512,1.99E-05
1094,energetic,uptown_as,Workout Motivation,0.250375,0.086334056,12.35952778,0.086334056,-36.3042381,40.84324536,0.26081456,1.56E-06
1095,energetic,uptown_as,Workout Motivation,0.260992063,0.099305606,17.00102183,0.099305606,-25.87747619,87.96482952,0.348839,1.10E-06
1096,energetic,uptown_as,Workout Motivation,0.33034127,0.085086237,13.83742063,0.085086237,-13.10152381,7.378545963,0.19385784,1.19E-05
1097,energetic,uptown_as,Workout Motivation,0.247928571,0.099249064,14.81097222,0.099249064,-30.9432619,127.8598661,0.16662612,1.94E-06
1098,energetic,uptown_as,Workout Motivation,0.29410119,0.100914242,7.524111111,0.100914242,-25.64609524,71.43521331,0.22724908,2.55E-06
1099,energetic,uptown_as,Workout Motivation,0.193186508,0.090365579,9.370492063,0.090365579,-31.54954762,32.07752352,0.20547728,3.26E-06
1100,energetic,uptown_as,Workout Motivation,0.306561508,0.088320716,10.23173016,0.088320716,-18.03142857,14.61077708,0.311621822,9.57E-05
1101,energetic,uptown_as,Workout Motivation,0.34321627,0.093491752,0.130968254,0.093491752,-37.93611905,23.76543138,0.24377608,5.67E-06
1102,energetic,uptown_as,Workout Motivation,0.180424603,0.084633342,8.068382937,0.084633342,-33.8732619,48.71087703,0.2142388,1.11E-06
1103,energetic,uptown_as,Workout Motivation,0.19303373,0.101655202,-7.970232143,0.101655202,-29.65069048,85.03386719,0.17574688,9.92E-06
1104,energetic,uptown_as,Workout Motivation,0.236978175,0.103171612,19.60757341,0.103171612,-39.66885714,50.62632969,0.35714152,7.49E-06
1105,energetic,uptown_as,Workout Motivation,0.196275794,0.083583723,2.730019841,0.083583723,-30.7942619,55.59243478,0.35294516,7.69E-07
1106,energetic,uptown_as,Workout Motivation,0.370849206,0.088557206,7.998224206,0.088557206,-15.54283333,17.42773809,0.187399,1.86E-06
1107,energetic,uptown_as,Workout Motivation,0.259825397,0.084845532,11.75138095,0.084845532,-17.4057619,45.50600823,0.26313092,1.80E-06
1108,energetic,uptown_as,Workout Motivation,0.295650794,0.087945834,9.996615079,0.087945834,-21.77845238,46.88925718,0.390453677,1.86E-05
1109,energetic,uptown_as,Workout Motivation,0.282547619,0.096537521,14.42526786,0.096537521,-33.87321429,78.97639217,0.20976108,1.14E-06
1110,energetic,uptown_as,Workout Motivation,0.289150794,0.091188347,4.816115079,0.091188347,-22.90754762,102.6942898,0.17650184,1.43E-06
1111,energetic,uptown_as,Workout Motivation,0.42856746,0.094183443,6.542343254,0.094183443,-23.93766667,184.7894989,0.21467184,7.14E-06
1112,energetic,uptown_as,Workout Motivation,0.280498016,0.090340163,11.05011111,0.090340163,-17.10957143,78.08788132,0.386952373,9.60E-06
1113,energetic,uptown_as,Workout Motivation,0.233079365,0.091708888,25.60488294,0.091708888,-26.64707143,42.5071308,0.17647716,1.27E-06
1114,energetic,uptown_as,Workout Motivation,0.209414683,0.080898708,2.40405754,0.080898708,-17.6307619,72.33972292,0.28846496,4.10E-06
1115,energetic,uptown_as,Workout Motivation,0.283174603,0.08892158,7.267630952,0.08892158,-29.28678571,62.78359295,0.20721868,3.22E-06
1116,energetic,uptown_as,Workout Motivation,0.163507937,0.079836632,11.15894048,0.079836632,-22.8962381,27.28860975,0.28573664,1.67E-06
1117,energetic,uptown_as,Workout Motivation,0.253992063,0.13252398,-12.443625,0.13252398,-27.52328571,37.81825294,0.24197972,0.006520895
1118,energetic,uptown_as,Workout Motivation,0.331674603,0.083076192,11.77515873,0.083076192,-29.88771429,61.78583762,0.23111414,0.005961241
1119,energetic,uptown_as,Workout Motivation,0.298325397,0.114291401,-0.012900794,0.114291401,-19.74114286,101.0285545,0.19480064,1.72E-06
1120,energetic,uptown_as,Workout Motivation,0.245553571,0.088589937,29.18060119,0.088589937,-29.79488095,86.38410811,0.16302864,1.19E-06
