,song_id,p_mood,p_creator,p_name,pitch_mean,pitch_variance,timbre_mean,timbre_variance,intensity_mean,intensity_variance,rhythm_mean,rhythm_variance
32,2tOOcDDYkh0PSjr6GwPEAJ,energetic,Spotify,Pumped Pop,0.282968254,0.086144102,24.31942659,0.086144102,-23.33497619,150.3710057,0.20712128,3.56E-06
33,5IUOU5xkzGHsRFOYNu3GSK,energetic,Spotify,Pumped Pop,0.278013889,0.091748924,-5.654184524,0.091748924,-29.62688095,73.54237494,0.2993944,6.85E-06
34,3jjujdWJ72nww5eGnfs2E7,energetic,Spotify,Pumped Pop,0.31128373,0.103696836,-1.516492063,0.103696836,-32.77169048,44.12675666,0.30272544,3.98E-06
35,4wNIkl5XGiAACjFBlDWuSd,energetic,Spotify,Pumped Pop,0.283281746,0.089269909,-2.663656746,0.089269909,-41.30147619,71.64580377,0.26548856,1.06E-06
36,1mpD5Q8IM32I4bF6eCpU74,energetic,Spotify,Pumped Pop,0.318759921,0.111981209,-2.94394246,0.111981209,-30.34871429,237.1324362,0.318680785,1.50E-05
37,05CwHjIk71RXVU40boRMnR,energetic,Spotify,Pumped Pop,0.284797619,0.089767291,2.253753968,0.089767291,-22.12245238,64.61374538,0.28851324,2.29E-06
38,36orMWv2PgvnzXsd5CJ0yL,energetic,Spotify,Pumped Pop,0.297244048,0.087542547,5.541894841,0.087542547,-26.87021429,185.3185566,0.28150992,0.008909444
39,6LsAAHotRLMOHfCsSfYCsz,energetic,Spotify,Pumped Pop,0.348855159,0.103266554,0.908634921,0.103266554,-19.03928571,198.1040085,0.24181828,6.47E-06
40,07Oz5StQ7GRoygNLaXs2pd,energetic,Spotify,Pumped Pop,0.347365079,0.085412248,16.81814087,0.085412248,-17.67038095,169.5123231,0.31267624,2.33E-06
41,2grAr8pWMuLWn8ZYEE9wDV,energetic,Spotify,Pumped Pop,0.328045635,0.090307646,21.53235516,0.090307646,-31.16433333,93.63202681,0.34936644,0.000294878
42,7COXchtUOMd6uIT6HvmRaI,energetic,Spotify,Pumped Pop,0.30452381,0.09046361,10.26165079,0.09046361,-26.44757143,144.6523649,0.29588384,4.51E-05
43,3Z8FwOEN59mRMxDCtb8N0A,energetic,Spotify,Pumped Pop,0.581293651,0.067392073,23.23118452,0.067392073,-36.63945238,102.3106462,0.3194568,8.41E-06
44,5PYQUBXc7NYeI1obMKSJK0,energetic,Spotify,Pumped Pop,0.278287698,0.086296217,4.112289683,0.086296217,-27.50290476,83.58351409,0.30000784,1.23E-06
45,4PkIDTPGedm0enzdvilLNd,energetic,Spotify,Pumped Pop,0.295577381,0.094090451,15.51303571,0.094090451,-15.62269048,113.4531439,0.27274888,2.10E-05
46,4uNV7GyGEBZzPDdetEEvhS,energetic,Spotify,Pumped Pop,0.232136905,0.094789514,5.708055556,0.094789514,-23.44842857,35.74997089,0.27073176,1.09E-05
47,1fipvP2zmef6vN2IwXfJhY,energetic,Spotify,Pumped Pop,0.37506746,0.100685037,2.618878968,0.100685037,-20.84514286,90.98644174,0.19396056,4.55E-06
48,11cDEev79fPKi6uJCjUhu8,energetic,Spotify,Pumped Pop,0.309640873,0.094159897,7.455593254,0.094159897,-20.70280952,92.24527943,0.2143148,1.76E-06
49,0rIAC4PXANcKmitJfoqmVm,energetic,Spotify,Pumped Pop,0.230621032,0.097239512,9.245690476,0.097239512,-19.52771429,99.7034544,0.17537784,1.14E-06
50,5tAa8Uaqr4VvA3693mbIhU,energetic,Spotify,Pumped Pop,0.239702381,0.099012253,-8.715011905,0.099012253,-28.38519048,66.29530435,0.24003216,2.33E-06
51,7hpJ9tATWb2vztlq99hERP,energetic,Spotify,Pumped Pop,0.449498016,0.102742831,6.792087302,0.102742831,-25.03466667,154.8227128,0.27774808,2.93E-06
52,0TrPqhAMoaKUFLR7iYDokf,energetic,Spotify,Pumped Pop,0.293347222,0.127655034,-2.237349206,0.127655034,-32.52840476,131.1049805,0.29122588,1.03E-05
53,6LKYeyLt4G4SlZ6OJwFhVS,energetic,Spotify,Pumped Pop,0.280069444,0.105485981,-3.495805556,0.105485981,-25.47966667,101.3802924,0.28517292,2.30E-05
54,2Fn4gZI3MAeWTiv7cSVxZQ,energetic,Spotify,Pumped Pop,0.30696627,0.096265206,7.122410714,0.096265206,-23.87540476,122.5319184,0.26034004,1.10E-05
55,4NSW0Km5ZG60L8FthUebPJ,energetic,Spotify,Pumped Pop,0.278819444,0.088909627,8.49084127,0.088909627,-20.3582619,82.29271054,0.295914,0.000105904
56,1xK7enJZVdv37fnnxoZlPq,energetic,Spotify,Pumped Pop,0.249293651,0.0875635,18.12477183,0.0875635,-28.51535714,244.8608988,0.2057562,0.001742169
